filename,page,text,page_count,url
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,1,"pelea OF OOP EER

Oh God! how sad she is! Mother Kennedy,

No Mother will ever bear the grief so bloody.
Oh Lord! we pray Thee, make her bold,

To mourn the loss of sons worth gold.

Sons who strived for sure Bemocracy, by pure ballots,
Proud mother she is; though they fell to bullets.

Oh Criminals! why you grew in your mothers! wombs?
Violence makes her sons less; and three their tombs.

Her heart loaded with grief thinks no revenge,

Like a Mother~hen who lost three under her wings.

Sons stood for freedom, like Lincoln forever remind;
Bereaved; never mind! under the grave Freedom will ring.

Heroes they are; her young ones so dear,

Pistols felled them one by one, how to bear?

Oh Father Jesus! - you carried the cross for sinners,

So Rose; May Mother forgive? Heartless brutes are killers

Singapore.
12.6.1968. DEVAN.

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,2,"over ‘the death pf:Se .
the more tragic for boll
pee titer §

it pity ba a source:
> theif’ profound grief)1.

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,3,"7 _ Miss Shariffah Raguan ai

23 Mac Phersen Road *

a _s was “with
great dew, dhe news «

came as a shock, 4p vy pebon ore

Yor have my sincere and hearifelt yin ype Sorrow. _

: - Senator Kennedys death - must be a latte. C

—__ Childyen too » pleciog, Assure 4nem also
Words 5 now one rate

my Eineere s erthy.
hut i a net

ey, werds wren J nba tat | do jeu with | a 2.

DoMow,

; un Faithfully oo
oo espa

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,4,,50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,5,"MALAYSIA PUBLISHING HOUSE LIMITED

PRINTERS, - PUBLISHERS -, BOOKSELLERS - GENERAL TRADERS

HEAD OFFICE: 71/77 STAMFORD ROAD, SINGAPORE 6 © P.0. BOX 347 © TELEPHONES 31121-2, 24257 © TELEGRAMS “EMPRESS”
BRANCH: KUALA LUMPUR, MALAYSIA + P.0. BOX 2294

10th June, 1968.
Honourable Ambassador,
United States of America,
Amertean Embassy,
30 Htll Street,

Stngapore.

Dear Str,

May we be permitted to express our very deep. sympathy over
the loss of a good man in the tragte death of the late Senator Robert
Kennedy. It ts our prayer that hts deeds and hts hopes shall always
be ramembered tn the hearts of all mankind. Please convey our sincere
condolences to Mrs. Kennedy and family.

Yours very truly,

Masagung, Chatrman
General Manager. & Managing Director.
President, P.T. Gunung
Agung, Sart Agung &
Graft Agung, Djakarta.

SUBSIDIARIES
M.P.H. PRINTERS SDN. BHD. - M.P.H. BOOKS SDN. BHD. - M.P.H. PUBLICATIONS SDN. BHD.

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,6,"Mr. A.C, dp Silva

143-H PesiBran

Block No. 57, Macpherson Estate
Singapore 13

Dear Mr. de Silva:

I write to express ay sincere ‘thanks for your lester of condolence
over the death of Senator Robert F. Kennedy.

An event such as this, the more tragic for being the second assassi-
nation of a Kennedy in public life, is indeed @ source of shock and
avrief for all of us.

I on forwarding your letter to Washington where it may join the many

other expreasions of sympethy from old around the world. J know that
it will be a source of comfort to the Kennedy family to know that
their profound grief is shared by so many others.

I know that I speak for the Kenne¢y family as well as for this Embassy
and the Goverment of the Uiited States in stating how deeply all of
us appreciate your thoughts and syupathy at this time of sorrow and
difficulty.

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,7,"7th June, 1968.
His Exceilency,

The United States Ambassador,
Singapore.

Your Excellency,

We humbly request Your Excellency
to kindly convey our deep sympathy and extreme
sorrow to the Kennedy family over the death of
Senator Robert F. Kennedy. Our condolences go out
especially to Mrs. Kennedy and her children. We are
Simple working class people who are greatly shocked
by the tragedy that has befallen the people of the
United States of America. We therefore wish to
express to Your Excellency - as representative of
the Government and people of the United States -
our profound regrets over the loss of a great
American. I can assure Your Exceliency that there
are many people in Singapore who share the feelings
of my family. Peopie I have sopken to have expressed
nothing but sorrow over the death of a man who might
well have brought peace not only to this part of the
world but aiso within America itself. It is my
family's earnest hope that the Senator's death,
following so closely upon that of the Rev. Martin
Luther King, will draw the peopies of your great
country more closely together so that Americans of
all races may be able to live in peace and harmony.

Yours respectfully,

A.c. d ow
(for and on behaif of the de Silva family)

143-H Pesiaran Keliling,
Block No. 57, Macpherson Estate,
Singapore, 13.

Ry

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,8,"Singapore 19
Dear Mr, Chan:

I write to express my sincere. thanks for your letter of condolence
over the death of Senator Robert r. Kennedy .

An event auch as thie, the more tragic for being the ‘second ‘asenssi«
' gation of a Kennedy in public life, 4s indeed a sourse of shock and
erfef for all of us. .

I am forwarding your letter to Washington where: ‘Aimy joan the meny
other expressions of sympathy from all around the world, I know that.
Seeder niet eekee ha aneree ty ce annnety fenily to now that
their profound grief is shared ty so many others. ,

XY know that I speak for the Kennedy. family 4s well ‘as for this Exbasay.
and the Goverment of the United States in’ stating how deeply all of
us appreciate your thoughts and syapathy: at thie time of eorrow and
dittioulty.

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,9,"CLs

Pee ck
Aur
A

TONY Cuan Cuone K

4

2

~

a i OL
M- partayige ~Or ere

CRMC 4€ Oe rZ eetrurte

RO aH Ledset ct fOr Four

i, Suri

<=

VHA I,

i)
NW AVENU E,

“inc, RPORE! |

t

Tt

is Lit 2! q 6°

j
j

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf,10,". Mr. &.T.S. Mair.

British India General Insurance Co, Lad,
P.B. Ohb
Singapore i

Dear aed Nairs

I write to expreas my sincere thanks ‘for your Adetter of condolence
over the death of Senator Robert Fe Kennedy.

An event such ae thie, the more tragic for being the second ansassi-
- mation of a Kennedy in publie life, is indeed a@ source of shock and
grief for all of us.

I an forwarding. your letter to Washington where 4% may join the many
other expressions of sympathy from all around the world. I know that
it will be a source of comfort to the Kennedy family to know that -
their profound grief is shared by so many others,

I know that I speak for the Kennedy family as well as for thie Rabasay
and the Government of the United States in stating how deeply all of
us appreciate your thoughts and | smpa thy at this time of sorrow and
difficulty.

Sincerely, 7

Franeis J, ‘Galbraith
snbapeodor

",50,https://www.archives.gov/files/research/rfk/releases/2025/0418/pol_6_us_kennedy_07_01_1968_senator_robert_f._kennedy-part_4_of_5.pdf
